CustomerKey,GeographyKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,Income,TotalChildren,Education,DateFirstPurchase
11000,26,Jon,Yang,Jon Yang,1971-10-06,M,M,"90000,00",2,Bachelors,2020-01-19
11001,37,Eugene,Huang,Eugene Huang,1976-05-10,S,M,"60000,00",3,Bachelors,2020-01-15
11002,31,Ruben,Torres,Ruben Torres,1971-02-09,M,M,"60000,00",3,Bachelors,2020-01-07
11003,11,Christy,Zhu,Christy Zhu,1973-08-14,S,F,"70000,00",0,Bachelors,2019-12-29
11004,19,Elizabeth,Johnson,Elizabeth Johnson,1979-08-05,S,F,"80000,00",5,Bachelors,2020-01-23
11005,22,Julio,Ruiz,Julio Ruiz,1976-08-01,S,M,"70000,00",0,Bachelors,2019-12-30
11006,8,Janet,Alvarez,Janet Alvarez,1976-12-02,S,F,"70000,00",0,Bachelors,2020-01-24
11007,40,Marco,Mehta,Marco Mehta,1969-11-06,M,M,"60000,00",3,Bachelors,2020-01-09
11008,32,Rob,Verhoff,Rob Verhoff,1975-07-04,S,F,"60000,00",4,Bachelors,2020-01-25
11009,25,Shannon,Carlson,Shannon Carlson,1969-09-29,S,M,"70000,00",0,Bachelors,2020-01-27
11010,22,Jacquelyn,Suarez,Jacquelyn Suarez,1969-08-05,S,F,"70000,00",0,Bachelors,2020-01-14
11011,22,Curtis,Lu,Curtis Lu,1969-05-03,M,M,"60000,00",4,Bachelors,2019-12-30
11012,611,Lauren,Walker,Lauren Walker,1979-01-14,M,F,"100000,00",2,Bachelors,2022-03-16
11013,543,Ian,Jenkins,Ian Jenkins,1979-08-03,M,M,"100000,00",2,Bachelors,2022-04-13
11014,634,Sydney,Bennett,Sydney Bennett,1973-11-06,S,F,"100000,00",3,Bachelors,2022-03-23
11015,301,Chloe,Young,Chloe Young,1984-08-26,S,F,"30000,00",0,Partial College,2022-01-18
11016,329,Wyatt,Hill,Wyatt Hill,1984-10-25,M,M,"30000,00",0,Partial College,2022-02-09
11017,39,Shannon,Wang,Shannon Wang,1949-12-24,S,F,"20000,00",4,High School,2020-01-12
11018,32,Clarence,Rai,Clarence Rai,1955-10-06,S,M,"30000,00",2,Partial College,2020-01-17
11019,52,Luke,Lal,Luke Lal,1983-09-04,S,M,"40000,00",0,High School,2022-02-12
11020,53,Jordan,King,Jordan King,1984-03-19,S,M,"40000,00",0,High School,2021-12-29
11021,536,Destiny,Wilson,Destiny Wilson,1984-03-02,S,F,"40000,00",0,Partial College,2022-01-23
11022,609,Ethan,Zhang,Ethan Zhang,1984-04-10,M,M,"40000,00",0,Partial College,2022-01-20
11023,298,Seth,Edwards,Seth Edwards,1984-04-09,M,M,"40000,00",0,Partial College,2022-02-17
11024,311,Russell,Xie,Russell Xie,1984-03-16,M,M,"60000,00",0,Partial College,2022-06-27
11025,24,Alejandro,Beck,Alejandro Beck,1951-06-22,M,M,"10000,00",2,Partial High School,2020-01-06
11026,4,Harold,Sai,Harold Sai,1951-10-01,S,M,"30000,00",2,Partial College,2020-01-23
11027,40,Jessie,Zhao,Jessie Zhao,1952-06-05,M,M,"30000,00",2,Partial College,2020-01-16
11028,17,Jill,Jimenez,Jill Jimenez,1951-10-09,M,F,"30000,00",2,Partial College,2020-01-26
11029,32,Jimmy,Moreno,Jimmy Moreno,1952-06-19,M,M,"30000,00",2,Partial College,2020-01-19
11030,28,Bethany,Yuan,Bethany Yuan,1958-02-18,M,F,"10000,00",2,Partial High School,2020-02-05
11031,8,Theresa,Ramos,Theresa Ramos,1953-02-18,M,F,"20000,00",4,High School,2020-02-01
11032,35,Denise,Stone,Denise Stone,1952-12-08,M,F,"20000,00",4,High School,2020-02-18
11033,9,Jaime,Nath,Jaime Nath,1958-09-19,M,M,"20000,00",4,High School,2020-02-15
11034,12,Ebony,Gonzalez,Ebony Gonzalez,1952-12-16,M,F,"20000,00",4,High School,2020-02-01
11035,33,Wendy,Dominguez,Wendy Dominguez,1953-08-23,M,F,"10000,00",2,Partial High School,2020-02-06
11036,343,Jennifer,Russell,Jennifer Russell,1984-06-16,M,F,"60000,00",0,Partial College,2022-01-22
11037,49,Chloe,Garcia,Chloe Garcia,1983-05-27,S,F,"40000,00",0,Partial High School,2022-01-20
11038,6,Diana,Hernandez,Diana Hernandez,1953-09-20,M,F,"10000,00",2,Partial High School,2020-02-07
11039,19,Marc,Martin,Marc Martin,1954-06-16,M,M,"30000,00",3,Partial College,2020-02-07
11040,642,Jesse,Murphy,Jesse Murphy,1983-01-29,M,M,"30000,00",0,Partial College,2022-04-03
11041,325,Amanda,Carter,Amanda Carter,1983-04-15,M,F,"60000,00",0,Partial College,2022-01-14
11042,338,Megan,Sanchez,Megan Sanchez,1982-12-11,M,F,"70000,00",0,Partial College,2022-01-21
11043,325,Nathan,Simmons,Nathan Simmons,1981-08-23,M,M,"60000,00",0,Partial College,2022-05-08
11044,25,Adam,Flores,Adam Flores,1954-11-21,M,M,"20000,00",2,Partial High School,2020-02-28
11045,8,Leonard,Nara,Leonard Nara,1955-11-16,S,M,"30000,00",3,High School,2022-04-10
11046,6,Christine,Yuan,Christine Yuan,1955-09-19,M,F,"30000,00",3,High School,2020-02-06
11047,34,Jaclyn,Lu,Jaclyn Lu,1955-08-27,M,F,"30000,00",3,High School,2020-02-03
11048,39,Jeremy,Powell,Jeremy Powell,1956-05-21,M,M,"30000,00",3,High School,2020-02-10
11049,307,Carol,Rai,Carol Rai,1986-01-15,S,F,"40000,00",0,Partial High School,2022-03-09
11050,31,Alan,Zheng,Alan Zheng,1957-03-06,M,M,"30000,00",3,High School,2020-02-20
11051,21,Daniel,Johnson,Daniel Johnson,1957-01-31,S,M,"30000,00",3,High School,2022-12-29
11052,8,Heidi,Lopez,Heidi Lopez,1957-02-03,S,F,"40000,00",2,Partial College,2020-02-17
11053,359,Ana,Price,Ana Price,1986-02-17,M,F,"60000,00",0,Partial College,2022-01-17
11054,34,Deanna,Munoz,Deanna Munoz,1957-09-07,M,F,"40000,00",2,Partial College,2020-02-03
11055,22,Gilbert,Raje,Gilbert Raje,1957-09-02,M,M,"40000,00",2,Partial College,2020-01-31
11056,10,Michele,Nath,Michele Nath,1958-10-01,M,F,"40000,00",3,Partial College,2020-02-26
11057,5,Carl,Andersen,Carl Andersen,1970-04-07,M,M,"70000,00",2,Graduate Degree,2020-02-22
11058,29,Marc,Diaz,Marc Diaz,1965-04-23,M,M,"80000,00",2,Partial College,2020-03-09
11059,27,Ashlee,Andersen,Ashlee Andersen,1959-09-29,S,F,"80000,00",2,Partial College,2022-02-18
11060,40,Jon,Zhou,Jon Zhou,1959-09-14,M,M,"80000,00",2,Partial College,2020-03-19
11061,23,Todd,Gao,Todd Gao,1976-02-20,M,M,"80000,00",2,Partial College,2020-03-13
11062,547,Noah,Powell,Noah Powell,1981-03-01,M,M,"40000,00",0,High School,2022-01-07
11063,634,Angela,Murphy,Angela Murphy,1980-10-04,S,F,"40000,00",0,High School,2022-01-12
11064,315,Chase,Reed,Chase Reed,1981-06-05,M,M,"40000,00",0,High School,2022-01-25
11065,331,Jessica,Henderson,Jessica Henderson,1979-04-08,M,F,"60000,00",0,Partial College,2022-02-10
11066,543,Grace,Butler,Grace Butler,1979-05-27,M,F,"70000,00",0,Partial College,2022-05-31
11067,632,Caleb,Carter,Caleb Carter,1982-03-25,S,M,"60000,00",0,Partial College,2022-08-18
11068,40,Tiffany,Liang,Tiffany Liang,1966-09-19,S,F,"80000,00",2,High School,2022-04-30
11069,23,Carolyn,Navarro,Carolyn Navarro,1966-09-17,S,F,"80000,00",2,High School,2020-04-17
11070,39,Willie,Raji,Willie Raji,1960-10-02,M,M,"80000,00",2,High School,2020-04-28
11071,24,Linda,Serrano,Linda Serrano,1960-12-23,S,F,"80000,00",2,High School,2022-03-01
11072,17,Casey,Luo,Casey Luo,1960-08-05,S,F,"80000,00",2,High School,2020-03-31
11073,16,Amy,Ye,Amy Ye,1962-02-11,S,F,"70000,00",2,High School,2022-03-23
11074,28,Levi,Arun,Levi Arun,1962-02-25,S,M,"70000,00",2,High School,2022-03-23
11075,32,Felicia,Jimenez,Felicia Jimenez,1963-05-16,S,F,"80000,00",2,High School,2020-04-28
11076,19,Blake,Anderson,Blake Anderson,1963-01-10,S,M,"80000,00",2,High School,2020-04-21
11077,36,Leah,Ye,Leah Ye,1963-03-19,S,F,"80000,00",2,High School,2020-04-15
11078,49,Gina,Martin,Gina Martin,1985-01-06,S,F,"40000,00",0,High School,2022-02-15
11079,34,Donald,Gonzalez,Donald Gonzalez,1970-03-07,S,M,"160000,00",0,Graduate Degree,2022-03-15
11080,30,Damien,Chander,Damien Chander,1965-01-13,M,M,"170000,00",0,Graduate Degree,2020-04-10
11081,311,Savannah,Baker,Savannah Baker,1972-01-21,M,F,"120000,00",2,Bachelors,2022-02-12
11082,322,Angela,Butler,Angela Butler,1972-02-01,S,F,"130000,00",0,Graduate Degree,2022-01-22
11083,336,Alyssa,Cox,Alyssa Cox,1977-03-11,M,F,"130000,00",0,Graduate Degree,2022-01-06
11084,543,Lucas,Phillips,Lucas Phillips,1963-03-12,S,M,"80000,00",2,Partial High School,2022-01-04
11085,345,Emily,Johnson,Emily Johnson,1963-01-16,S,F,"60000,00",2,High School,2022-12-06
11086,369,Ryan,Brown,Ryan Brown,1963-06-22,M,M,"70000,00",2,Partial College,2022-07-02
11087,307,Tamara,Liang,Tamara Liang,1963-04-02,M,F,"70000,00",3,Partial College,2022-02-25
11088,359,Hunter,Davis,Hunter Davis,1963-05-25,M,M,"80000,00",2,Bachelors,2022-01-13
11089,337,Abigail,Price,Abigail Price,1962-08-05,S,F,"80000,00",2,Bachelors,2021-12-29
11090,338,Trevor,Bryant,Trevor Bryant,1968-12-13,S,M,"90000,00",2,Partial College,2020-08-07
11091,50,Dalton,Perez,Dalton Perez,1962-10-02,M,M,"90000,00",2,Partial College,2022-01-29
11092,22,Cheryl,Diaz,Cheryl Diaz,1972-11-02,M,F,"90000,00",2,Bachelors,2020-04-08
11093,19,Aimee,He,Aimee He,1978-09-06,M,F,"100000,00",0,Graduate Degree,2020-04-07
11094,33,Cedric,Ma,Cedric Ma,1967-09-29,S,M,"70000,00",1,Partial College,2022-04-07
11095,13,Chad,Kumar,Chad Kumar,1968-02-29,S,M,"70000,00",1,Partial College,2020-04-01
11096,12,Andrés,Anand,Andrés Anand,1968-02-07,M,M,"60000,00",1,Bachelors,2020-04-11
11097,40,Edwin,Nara,Edwin Nara,1972-10-23,M,M,"60000,00",1,Partial College,2020-04-04
11098,14,Mallory,Rubio,Mallory Rubio,1966-10-29,S,F,"60000,00",1,Partial College,2022-02-11
11099,13,Adam,Ross,Adam Ross,1966-09-05,M,M,"60000,00",1,Bachelors,2020-04-07
11100,28,Latasha,Navarro,Latasha Navarro,1966-03-15,S,F,"60000,00",1,Partial College,2020-04-16
11101,33,Abby,Sai,Abby Sai,1970-11-05,S,F,"70000,00",0,Bachelors,2020-04-29
11102,18,Julia,Nelson,Julia Nelson,1970-10-19,S,F,"80000,00",5,Bachelors,2022-07-16
11103,3,Cassie,Chande,Cassie Chande,1981-04-12,S,F,"70000,00",0,Bachelors,2020-04-15
11104,23,Edgar,Sara,Edgar Sara,1975-03-08,M,M,"70000,00",0,Bachelors,2020-05-04
11105,8,Candace,Fernandez,Candace Fernandez,1970-06-27,S,F,"70000,00",0,Bachelors,2020-05-14
11106,40,Jessie,Liu,Jessie Liu,1970-03-11,S,M,"70000,00",0,Bachelors,2020-05-18
11107,17,Bianca,Lin,Bianca Lin,1976-03-04,M,F,"90000,00",1,Bachelors,2020-05-01
11108,13,Kari,Alvarez,Kari Alvarez,1969-01-10,S,F,"70000,00",0,Bachelors,2020-05-03
11109,38,Ruben,Kapoor,Ruben Kapoor,1980-04-30,S,M,"70000,00",0,Bachelors,2020-05-10
11110,3,Curtis,Yang,Curtis Yang,1967-12-04,M,M,"60000,00",1,Partial College,2020-05-01
11111,34,Meredith,Gutierrez,Meredith Gutierrez,1967-08-23,M,F,"60000,00",1,Partial College,2020-05-20
11112,25,Crystal,Wang,Crystal Wang,1968-03-08,M,F,"60000,00",1,Partial College,2020-05-25
11113,30,Micheal,Blanco,Micheal Blanco,1973-02-17,M,M,"70000,00",5,Bachelors,2022-02-01
11114,14,Leslie,Moreno,Leslie Moreno,1967-11-25,S,F,"70000,00",5,Partial College,2022-03-18
11115,17,Alvin,Cai,Alvin Cai,1967-08-12,M,M,"70000,00",5,Partial College,2022-02-10
11116,18,Clinton,Carlson,Clinton Carlson,1979-04-02,M,M,"70000,00",5,Partial College,2022-03-15
11117,8,April,Deng,April Deng,1966-08-21,M,F,"70000,00",5,Partial College,2020-05-06
11118,6,Alvin,Zeng,Alvin Zeng,1962-12-31,S,M,"80000,00",1,Partial College,2022-07-10
11119,13,Evan,James,Evan James,1940-10-07,S,M,"30000,00",2,Partial College,2022-02-03
